"City name",Categories,Permalink,"Water Quality"
"Coeur D'Alene","North America>United States of America>Idaho",https://www.canyoudrinktapwaterin.com/is-coeur-dalene-tap-water-safe-to-drink/,50
"College Park","North America>United States of America>Maryland",https://www.canyoudrinktapwaterin.com/is-college-park-tap-water-safe-to-drink/,
"College Station","North America>United States of America>Texas",https://www.canyoudrinktapwaterin.com/is-college-station-tap-water-safe-to-drink/,61
"Colorado Springs","North America>United States of America>Colorado",https://www.canyoudrinktapwaterin.com/is-colorado-springs-tap-water-safe-to-drink/,63
Colton,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-colton-tap-water-safe-to-drink/,
Columbia,"North America>United States of America>Maryland",https://www.canyoudrinktapwaterin.com/is-columbia-tap-water-safe-to-drink-2/,
Columbia,"North America>United States of America>Missouri",https://www.canyoudrinktapwaterin.com/is-columbia-tap-water-safe-to-drink-3/,75
Columbia,"North America>United States of America>South Carolina",https://www.canyoudrinktapwaterin.com/is-columbia-tap-water-safe-to-drink/,48
Columbus,"North America>United States of America>Georgia",https://www.canyoudrinktapwaterin.com/is-columbus-tap-water-safe-to-drink/,44
Columbus,"North America>United States of America>Indiana",https://www.canyoudrinktapwaterin.com/is-columbus-tap-water-safe-to-drink-2/,
Columbus,"North America>United States of America>Ohio",https://www.canyoudrinktapwaterin.com/is-columbus-tap-water-safe-to-drink-3/,74
Concord,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-concord-tap-water-safe-to-drink/,88
Concord,"North America>United States of America>New Hampshire",https://www.canyoudrinktapwaterin.com/is-concord-tap-water-safe-to-drink-2/,85
Conroe,"North America>United States of America>Texas",https://www.canyoudrinktapwaterin.com/is-conroe-tap-water-safe-to-drink/,
Cookeville,"North America>United States of America>Tennessee",https://www.canyoudrinktapwaterin.com/is-cookeville-tap-water-safe-to-drink/,50
"Coos Bay","North America>United States of America>Oregon",https://www.canyoudrinktapwaterin.com/is-coos-bay-tap-water-safe-to-drink/,
